邻居细胞,方向,排名,通道,目标细胞,目标细胞基因,邻居细胞基因,强度,显著性
Cavity,发送,1,DLK1_NOTCH1,Branchial arch,DLK1,NOTCH1,1.048,0.006
Cavity,发送,2,DLK1_NOTCH2,Branchial arch,DLK1,NOTCH2,1.007,0.004
Cavity,发送,3,COL9A1_integrin_a1b1_complex,Branchial arch,COL9A1,integrin,0.452,0.049
Cavity,发送,4,MMP2_integrin_aVb3_complex,Branchial arch,MMP2,integrin,0.401,0.046
Cavity,发送,5,CD276_TREML2,Branchial arch,CD276,TREML2,0.202,0.028
Cavity,发送,6,RELN_LRP8,Branchial arch,RELN,LRP8,0.178,0.017
Cavity,接收,1,NTN1_UNC5C,Branchial arch,UNC5C,NTN1,0.744,0.004
Cavity,接收,2,THBS1_integrin_a3b1_complex,Branchial arch,integrin,THBS1,0.456,0.002
Cavity,接收,3,LipoxinA4_byALOX12_FPR2,Branchial arch,byALOX12,LipoxinA4,0.23,0.036
Heart,发送,1,IGF2_IGF2R,Branchial arch,IGF2,IGF2R,2.591,0.0
Heart,发送,2,IGF2_IGF1R,Branchial arch,IGF2,IGF1R,1.891,0.001
Heart,发送,3,PPIA_BSG,Branchial arch,PPIA,BSG,1.323,0.0
Heart,发送,4,DLK1_NOTCH1,Branchial arch,DLK1,NOTCH1,1.141,0.0
Heart,发送,5,FN1_integrin_aVb1_complex,Branchial arch,FN1,integrin,1.116,0.018
Heart,发送,6,DLK1_NOTCH3,Branchial arch,DLK1,NOTCH3,1.05,0.0
Heart,发送,7,DLK1_NOTCH2,Branchial arch,DLK1,NOTCH2,1.042,0.0
Heart,发送,8,COL18A1_integrin_a1b1_complex,Branchial arch,COL18A1,integrin,1.017,0.0
Heart,发送,9,COL3A1_integrin_a1b1_complex,Branchial arch,COL3A1,integrin,0.925,0.0
Heart,发送,10,LAMC1_integrin_a6b1_complex,Branchial arch,LAMC1,integrin,0.795,0.0
Heart,接收,1,IGF2_IGF2R,Branchial arch,IGF2R,IGF2,2.282,0.0
Heart,接收,2,IGF2_IGF1R,Branchial arch,IGF1R,IGF2,2.133,0.0
Heart,接收,3,FN1_integrin_aVb5_complex,Branchial arch,integrin,FN1,1.352,0.0
Heart,接收,4,FN1_integrin_aVb1_complex,Branchial arch,integrin,FN1,1.352,0.0
