embedding_level,embedding_index,start,end
6,17,L6/24,L6/23
6,17,L6/23,L6/21
6,17,L6/21,L6/19
6,17,L6/19,L6/17
6,18,L6/71,L6/103
6,18,L6/103,L6/100
6,18,L6/100,L6/96
6,18,L6/96,L6/97
6,18,L6/97,L6/105
6,18,L6/105,L6/104
6,18,L6/104,L6/107
6,18,L6/107,L6/111
6,18,L6/111,L6/109
6,18,L6/109,L6/10
6,18,L6/10,L5/5
6,18,L5/5,L5/7
6,18,L5/7,L6/15
6,18,L6/15,L6/13
6,18,L6/13,L6/26
6,18,L6/26,L6/24
6,18,L6/24,L6/23
6,18,L6/23,L6/21
6,18,L6/21,L6/18
6,19,L6/71,L6/103
6,19,L6/103,L6/100
6,19,L6/100,L6/96
6,19,L6/96,L6/97
6,19,L6/97,L6/105
6,19,L6/105,L6/104
6,19,L6/104,L6/107
6,19,L6/107,L6/111
6,19,L6/111,L6/109
6,19,L6/109,L6/10
6,19,L6/10,L5/5
6,19,L5/5,L5/7
6,19,L5/7,L6/15
6,19,L6/15,L6/13
6,19,L6/13,L6/26
6,19,L6/26,L6/24
6,19,L6/24,L6/23
6,19,L6/23,L6/21
6,19,L6/21,L6/19
6,20,L6/71,L6/103
6,20,L6/103,L6/100
6,20,L6/100,L6/96
6,20,L6/96,L6/97
6,20,L6/97,L6/105
6,20,L6/105,L6/104
6,20,L6/104,L6/107
6,20,L6/107,L6/111
6,20,L6/111,L6/109
6,20,L6/109,L6/10
6,20,L6/10,L5/5
6,20,L5/5,L5/7
6,20,L5/7,L6/15
6,20,L6/15,L6/13
6,20,L6/13,L6/26
6,20,L6/26,L6/24
6,20,L6/24,L6/23
6,20,L6/23,L6/22
6,20,L6/22,L6/20
6,21,L6/71,L6/103
6,21,L6/103,L6/100
6,21,L6/100,L6/96
6,21,L6/96,L6/97
6,21,L6/97,L6/105
6,21,L6/105,L6/104
6,21,L6/104,L6/107
6,21,L6/107,L6/111
6,21,L6/111,L6/109
6,21,L6/109,L6/10
6,21,L6/10,L5/5
6,21,L5/5,L5/7
6,21,L5/7,L6/15
6,21,L6/15,L6/13
6,21,L6/13,L6/26
6,21,L6/26,L6/24
6,21,L6/24,L6/23
6,21,L6/23,L6/21
6,22,L6/71,L6/103
6,22,L6/103,L6/100
6,22,L6/100,L6/96
6,22,L6/96,L6/97
6,22,L6/97,L6/105
6,22,L6/105,L6/104
6,22,L6/104,L6/107
6,22,L6/107,L6/111
6,22,L6/111,L6/109
6,22,L6/109,L6/10
6,22,L6/10,L5/5
6,22,L5/5,L5/7
6,22,L5/7,L6/15
6,22,L6/15,L6/13
6,22,L6/13,L6/26
6,22,L6/26,L6/24
6,22,L6/24,L6/23
6,22,L6/23,L6/22
6,23,L6/71,L6/103
6,23,L6/103,L6/100
6,23,L6/100,L6/96
6,23,L6/96,L6/97
6,23,L6/97,L6/105
6,23,L6/105,L6/104
6,23,L6/104,L6/107
6,23,L6/107,L6/111
6,23,L6/111,L6/109
6,23,L6/109,L6/10
6,23,L6/10,L5/5
6,23,L5/5,L5/7
6,23,L5/7,L6/15
6,23,L6/15,L6/13
6,23,L6/13,L6/26
6,23,L6/26,L6/24
6,23,L6/24,L6/23
6,24,L6/71,L6/103
6,24,L6/103,L6/100
6,24,L6/100,L6/96
6,24,L6/96,L6/97
6,24,L6/97,L6/105
6,24,L6/105,L6/104
6,24,L6/104,L6/107
6,24,L6/107,L6/111
6,24,L6/111,L6/109
6,24,L6/109,L6/10
6,24,L6/10,L5/5
6,24,L5/5,L5/7
6,24,L5/7,L6/15
6,24,L6/15,L6/13
6,24,L6/13,L6/26
6,24,L6/26,L6/24
6,25,L6/71,L6/103
6,25,L6/103,L6/100
6,25,L6/100,L6/96
6,25,L6/96,L6/97
6,25,L6/97,L6/105
6,25,L6/105,L6/104
6,25,L6/104,L6/107
6,25,L6/107,L6/111
6,25,L6/111,L6/109
6,25,L6/109,L6/10
6,25,L6/10,L5/5
6,25,L5/5,L5/7
6,25,L5/7,L6/15
6,25,L6/15,L6/13
6,25,L6/13,L6/26
6,25,L6/26,L6/24
6,25,L6/24,L6/25
6,26,L6/71,L6/103
6,26,L6/103,L6/100
6,26,L6/100,L6/96
6,26,L6/96,L6/97
6,26,L6/97,L6/105
6,26,L6/105,L6/104
6,26,L6/104,L6/107
6,26,L6/107,L6/111
6,26,L6/111,L6/109
6,26,L6/109,L6/10
