path_id,length,weight,start_node,end_node,path_string
52,12,750,Neural crest_1_103,Brain_1_18,Neural crest_1_103 -> Sclerotome_1_100 -> Sclerotome_1_96 -> Sclerotome_1_97 -> Dermomyotome_1_105 -> Dermomyotome_1_104 -> Branchial arch_1_107 -> Mesenchyme_1_111 -> Mesenchyme_1_109 -> Neural crest_1_10 -> Notochord_1_21 -> Brain_1_18
53,12,750,Neural crest_1_103,Cavity_1_43,Neural crest_1_103 -> Sclerotome_1_100 -> Sclerotome_1_96 -> Sclerotome_1_97 -> Dermomyotome_1_105 -> Dermomyotome_1_104 -> Branchial arch_1_107 -> Mesenchyme_1_111 -> Mesenchyme_1_109 -> Neural crest_1_10 -> Notochord_1_21 -> Cavity_1_43
54,12,543,Neural crest_1_103,Cavity_1_77,Neural crest_1_103 -> Sclerotome_1_100 -> Sclerotome_1_96 -> Sclerotome_1_97 -> AGM_1_118 -> AGM_1_117 -> AGM_1_116 -> AGM_1_121 -> AGM_1_123 -> Cavity_1_78 -> Cavity_1_76 -> Cavity_1_77
55,11,695,Neural crest_1_103,Neural crest_1_9,Neural crest_1_103 -> Sclerotome_1_100 -> Sclerotome_1_96 -> Sclerotome_1_97 -> Dermomyotome_1_105 -> Dermomyotome_1_104 -> Branchial arch_1_107 -> Mesenchyme_1_111 -> Mesenchyme_1_109 -> Neural crest_1_10 -> Neural crest_1_9
56,11,695,Neural crest_1_103,Neural crest_1_11,Neural crest_1_103 -> Sclerotome_1_100 -> Sclerotome_1_96 -> Sclerotome_1_97 -> Dermomyotome_1_105 -> Dermomyotome_1_104 -> Branchial arch_1_107 -> Mesenchyme_1_111 -> Mesenchyme_1_109 -> Neural crest_1_10 -> Neural crest_1_11
57,11,511,Neural crest_1_103,Cavity_1_79,Neural crest_1_103 -> Sclerotome_1_100 -> Sclerotome_1_96 -> Sclerotome_1_97 -> AGM_1_118 -> AGM_1_117 -> AGM_1_116 -> AGM_1_121 -> AGM_1_123 -> Cavity_1_78 -> Cavity_1_79
58,10,470,Neural crest_1_103,Mesenchyme_1_124,Neural crest_1_103 -> Sclerotome_1_100 -> Sclerotome_1_96 -> Sclerotome_1_97 -> AGM_1_118 -> AGM_1_117 -> AGM_1_116 -> AGM_1_121 -> Connective tissue_1_122 -> Mesenchyme_1_124
59,10,470,Neural crest_1_103,Connective tissue_1_126,Neural crest_1_103 -> Sclerotome_1_100 -> Sclerotome_1_96 -> Sclerotome_1_97 -> AGM_1_118 -> AGM_1_117 -> AGM_1_116 -> AGM_1_121 -> Connective tissue_1_122 -> Connective tissue_1_126
60,9,555,Neural crest_1_103,Mesenchyme_1_108,Neural crest_1_103 -> Sclerotome_1_100 -> Sclerotome_1_96 -> Sclerotome_1_97 -> Dermomyotome_1_105 -> Dermomyotome_1_104 -> Branchial arch_1_107 -> Mesenchyme_1_111 -> Mesenchyme_1_108
61,9,457,Neural crest_1_103,Neural crest_1_110,Neural crest_1_103 -> Sclerotome_1_100 -> Sclerotome_1_96 -> Sclerotome_1_97 -> Dermomyotome_1_105 -> Dermomyotome_1_104 -> Branchial arch_1_107 -> Mesenchyme_1_106 -> Neural crest_1_110
62,8,415,Neural crest_1_103,Connective tissue_1_120,Neural crest_1_103 -> Sclerotome_1_100 -> Sclerotome_1_96 -> Sclerotome_1_97 -> AGM_1_118 -> AGM_1_117 -> AGM_1_116 -> Connective tissue_1_120
63,7,360,Neural crest_1_103,Dermomyotome_1_114,Neural crest_1_103 -> Sclerotome_1_100 -> Sclerotome_1_96 -> Sclerotome_1_97 -> Dermomyotome_1_105 -> Dermomyotome_1_115 -> Dermomyotome_1_114
64,15,777,Sclerotome_1_100,Brain_1_12,Sclerotome_1_100 -> Sclerotome_1_96 -> Sclerotome_1_97 -> Dermomyotome_1_105 -> Dermomyotome_1_104 -> Branchial arch_1_107 -> Mesenchyme_1_111 -> Mesenchyme_1_109 -> Neural crest_1_10 -> Brain_1_8 -> Brain_1_6 -> Brain_1_5 -> Brain_1_7 -> Neural crest_1_14 -> Brain_1_12
